uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K2N:8551:56.3753669159464716,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803C1,6,6,0,0
U2K2N:8551:56.3753669172514525,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803A1,6,5,0,0
U2K2N:8551:56.3753669168296007,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803B1,6,4,0,0
U2K2N:8551:56.3753669202714569,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803B2,6,1,0,0
U2K2N:8551:56.3753669193075322,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803C2,6,3,0,0
U2K2N:8551:56.3753669212532790,2021-08-21 12:09:37,2021-08-21 12:16:26,on,AR2U0803,AR2U0803A2,6,2,0,0
U2K2N:8551:56.3753669566683278,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701A2,6,4,0,0
U2K2N:8551:56.3753669541273799,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701A1,6,2,0,0
U2K2N:8551:56.3753669533812540,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701B2,6,5,0,0
U2K2N:8551:56.3753669221036710,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701B1,6,3,0,0
U2K2N:8551:56.3753669545359745,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701C1,6,1,0,0
U2K2N:8551:56.3753669525949431,2021-08-21 12:09:38,2021-08-21 12:17:00,on,AR2U0701,AR2U0701C2,6,6,0,0
U2K2N:8551:56.3753668400062287,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036A1,6,4,0,0
U2K2N:8551:56.3753668529076403,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036C2,6,1,0,0
U2K2N:8551:56.3753668470193825,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036C1,6,6,0,0
U2K2N:8551:56.3753668405324926,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036B1,6,3,0,0
U2K2N:8551:56.3753668458195335,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036A2,6,5,0,0
U2K2N:8551:56.3753668538909919,2021-08-21 12:09:39,2021-08-21 12:17:07,on,AR2U0036,AR2U0036B2,6,2,0,0
U2K2N:8551:56.3753674791647308,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066B1,6,2,0,0
U2K2N:8551:56.3753674787194850,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066A1,6,4,0,0
U2K2N:8551:56.3753674802139661,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066A2,6,1,0,0
U2K2N:8551:56.3753674798789494,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066B2,6,3,0,0
U2K2N:8551:56.3753674795121447,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066C2,6,6,0,0
U2K2N:8551:56.3753674857471279,2021-08-21 12:09:43,2021-08-21 12:16:24,on,AR2U0066,AR2U0066C1,6,5,0,0
U2K2N:8551:56.3753674798789494,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066B2,6,3,0,0
U2K2N:8551:56.3753674857471279,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066C1,6,5,0,0
U2K2N:8551:56.3753674802139661,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066A2,6,1,0,0
U2K2N:8551:56.3753674787194850,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066A1,6,4,0,0
U2K2N:8551:56.3753674791647308,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066B1,6,2,0,0
U2K2N:8551:56.3753674795121447,2021-08-21 12:16:24,,off,AR2U0066,AR2U0066C2,6,6,0,0
U2K2N:8551:56.3753669193075322,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803C2,6,3,0,0
U2K2N:8551:56.3753669168296007,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803B1,6,4,0,0
U2K2N:8551:56.3753669172514525,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803A1,6,5,0,0
U2K2N:8551:56.3753669212532790,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803A2,6,2,0,0
U2K2N:8551:56.3753669202714569,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803B2,6,1,0,0
U2K2N:8551:56.3753669159464716,2021-08-21 12:16:26,,off,AR2U0803,AR2U0803C1,6,6,0,0
U2K2N:8551:56.3753669533812540,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701B2,6,5,0,0
U2K2N:8551:56.3753669525949431,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701C2,6,6,0,0
U2K2N:8551:56.3753669541273799,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701A1,6,2,0,0
U2K2N:8551:56.3753669566683278,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701A2,6,4,0,0
U2K2N:8551:56.3753669221036710,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701B1,6,3,0,0
U2K2N:8551:56.3753669545359745,2021-08-21 12:17:00,,off,AR2U0701,AR2U0701C1,6,1,0,0
U2K2N:8551:56.3753668529076403,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036C2,6,1,0,0
U2K2N:8551:56.3753668400062287,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036A1,6,4,0,0
U2K2N:8551:56.3753668470193825,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036C1,6,6,0,0
U2K2N:8551:56.3753668405324926,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036B1,6,3,0,0
U2K2N:8551:56.3753668458195335,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036A2,6,5,0,0
U2K2N:8551:56.3753668538909919,2021-08-21 12:17:07,,off,AR2U0036,AR2U0036B2,6,2,0,0
U2K1N:8551:56.3754405704361803,2021-08-21 12:21:54,2021-08-21 12:37:15,on,ES2U1013,ES2U1013B2,6,2,1,0
U2K1N:8551:56.3754405716351377,2021-08-21 12:21:54,2021-08-21 12:37:15,on,ES2U1013,ES2U1013B1,6,1,1,0
U2K1N:8551:56.3754405704361803,2021-08-21 12:37:15,,off,ES2U1013,ES2U1013B2,6,2,0,0
U2K1N:8551:56.3754405716351377,2021-08-21 12:37:15,,off,ES2U1013,ES2U1013B1,6,1,0,0
U2K2N:8551:56.3756731966262768,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859B2,6,6,1,0
